ebn0:4.60, esn0:7.61
总码率约为:0.500
Suppose Average Power is: 1
Actual Power is: 1.0000000000000002
temp_fer = 0.003990610328638498, temp_ber = 0.00015960662967705222
temp_fer = 0.004205607476635514, temp_ber = 0.0001699235344095157
temp_fer = 0.004186046511627907, temp_ber = 0.00016913319238900633
temp_fer = 0.004166666666666667, temp_ber = 0.00016835016835016836
temp_fer = 0.004147465437788019, temp_ber = 0.00016757436112274822
temp_fer = 0.004128440366972477, temp_ber = 0.00016680567139282736
temp_fer = 0.00410958904109589, temp_ber = 0.00016604400166044003
temp_fer = 0.004090909090909091, temp_ber = 0.00016528925619834712
temp_fer = 0.004072398190045249, temp_ber = 0.00016454134101192923
temp_fer = 0.004054054054054054, temp_ber = 0.0001638001638001638
temp_fer = 0.004035874439461884, temp_ber = 0.00016306563391765185
temp_fer = 0.0040178571428571425, temp_ber = 0.00016233766233766234
temp_fer = 0.004, temp_ber = 0.00016161616161616162
temp_fer = 0.003982300884955752, temp_ber = 0.00016090104585679806
temp_fer = 0.003964757709251102, temp_ber = 0.00016019223067681218
temp_fer = 0.003947368421052632, temp_ber = 0.0001594896331738437
temp_fer = 0.003930131004366812, temp_ber = 0.00015879317189360857
temp_fer = 0.00391304347826087, temp_ber = 0.00015810276679841898
temp_fer = 0.003896103896103896, temp_ber = 0.00015741833923652105
temp_fer = 0.003879310344827586, temp_ber = 0.00015673981191222572
temp_fer = 0.00407725321888412, temp_ber = 0.00017923332032774092
temp_fer = 0.00405982905982906, temp_ber = 0.00017846736596736597
temp_fer = 0.004042553191489362, temp_ber = 0.00017770793036750484
temp_fer = 0.004025423728813559, temp_ber = 0.0001769549306625578
temp_fer = 0.004008438818565401, temp_ber = 0.00017620828538550057
temp_fer = 0.003991596638655462, temp_ber = 0.00017546791443850268
temp_fer = 0.0039748953974895395, temp_ber = 0.000174733739064283
temp_fer = 0.003958333333333334, temp_ber = 0.00017400568181818183
temp_fer = 0.004149377593360996, temp_ber = 0.00018349993713064254
temp_fer = 0.004132231404958678, temp_ber = 0.00018274167292762334
temp_fer = 0.00411522633744856, temp_ber = 0.00018198964958224218
temp_fer = 0.004098360655737705, temp_ber = 0.00018124379036264283
temp_fer = 0.004285714285714286, temp_ber = 0.0001963512677798392
temp_fer = 0.00426829268292683, temp_ber = 0.0001955530918945553
temp_fer = 0.004251012145748988, temp_ber = 0.0001947613789719053
temp_fer = 0.004233870967741936, temp_ber = 0.00019397605083088955
temp_fer = 0.004216867469879518, temp_ber = 0.00019319703054642814
temp_fer = 0.0042, temp_ber = 0.00019242424242424242
temp_fer = 0.0041832669322709164, temp_ber = 0.00019165761197633706
temp_fer = 0.004166666666666667, temp_ber = 0.0001908970658970659
temp_fer = 0.004150197628458498, temp_ber = 0.00019014253203976524
temp_fer = 0.004133858267716535, temp_ber = 0.0001893939393939394
temp_fer = 0.00411764705882353, temp_ber = 0.00018865121806298276
temp_fer = 0.004296875, temp_ber = 0.00018828420928030304
temp_fer = 0.004280155642023347, temp_ber = 0.0001875515858978894
temp_fer = 0.004263565891472868, temp_ber = 0.00018682464176650223
temp_fer = 0.0042471042471042475, temp_ber = 0.0001861033111033111
temp_fer = 0.004230769230769231, temp_ber = 0.00018538752913752914
temp_fer = 0.00421455938697318, temp_ber = 0.0001846772320910252
temp_fer = 0.004198473282442748, temp_ber = 0.00018397235715938005
temp_fer = 0.004182509505703422, temp_ber = 0.00018327284249337482
temp_fer = 0.004166666666666667, temp_ber = 0.0001825786271808999
temp_fer = 0.004150943396226415, temp_ber = 0.00018188965122927387
temp_fer = 0.004135338345864661, temp_ber = 0.0001812058555479608
temp_fer = 0.004119850187265918, temp_ber = 0.0001805271819316763
temp_fer = 0.004104477611940298, temp_ber = 0.00017985357304387155
temp_fer = 0.004089219330855019, temp_ber = 0.0001791849724005858
temp_fer = 0.004074074074074074, temp_ber = 0.0001785213243546577
temp_fer = 0.004059040590405904, temp_ber = 0.00017786257408028625
temp_fer = 0.004044117647058824, temp_ber = 0.00017720866755793226
temp_fer = 0.00402930402930403, temp_ber = 0.00017655955155955157
temp_fer = 0.0040145985401459855, temp_ber = 0.00017591517363415175
temp_fer = 0.004, temp_ber = 0.00017527548209366392
temp_fer = 0.003985507246376811, temp_ber = 0.00017464042599912166
temp_fer = 0.003971119133574007, temp_ber = 0.00017400995514713926
temp_fer = 0.003956834532374101, temp_ber = 0.00017338402005668193
temp_fer = 0.003942652329749104, temp_ber = 0.00017276257195612035
temp_fer = 0.003928571428571429, temp_ber = 0.00017214556277056278
temp_fer = 0.003914590747330961, temp_ber = 0.00017153294510945756
temp_fer = 0.003900709219858156, temp_ber = 0.0001709246722544595
temp_fer = 0.0038869257950530037, temp_ber = 0.00017032069814755326
temp_fer = 0.0038732394366197184, temp_ber = 0.0001697209773794281
temp_fer = 0.0038596491228070177, temp_ber = 0.00016912546517809676
temp_fer = 0.0038461538461538464, temp_ber = 0.00016853411739775376
temp_fer = 0.003832752613240418, temp_ber = 0.00016794689050786613
temp_fer = 0.0038194444444444443, temp_ber = 0.00016736374158249159
temp_fer = 0.0038062283737024223, temp_ber = 0.0001667846282898186
temp_fer = 0.003793103448275862, temp_ber = 0.00016620950888192266
temp_fer = 0.003780068728522337, temp_ber = 0.00016563834218473393
temp_fer = 0.003767123287671233, temp_ber = 0.0001650710875882109
temp_fer = 0.0037542662116040954, temp_ber = 0.00016450770503671528
temp_fer = 0.0037414965986394557, temp_ber = 0.0001639481550195836
temp_fer = 0.003728813559322034, temp_ber = 0.00016339239856189009
temp_fer = 0.0037162162162162164, temp_ber = 0.00016284039721539722
temp_fer = 0.003703703703703704, temp_ber = 0.0001622921130496888
temp_fer = 0.003691275167785235, temp_ber = 0.0001617475086434818
temp_fer = 0.0036789297658862876, temp_ber = 0.0001612065470761123
temp_fer = 0.0036666666666666666, temp_ber = 0.0001606691919191919
temp_fer = 0.003654485049833887, temp_ber = 0.00016013540722843047
temp_fer = 0.003642384105960265, temp_ber = 0.0001596051575356211
temp_fer = 0.0036303630363036304, temp_ber = 0.0001590784078407841
temp_fer = 0.003618421052631579, temp_ber = 0.00015855512360446572
temp_fer = 0.0036065573770491803, temp_ber = 0.00015803527074018879
temp_fer = 0.003594771241830065, temp_ber = 0.0001575188156070509
temp_fer = 0.0035830618892508143, temp_ber = 0.00015700572500246767
temp_fer = 0.0035714285714285713, temp_ber = 0.00015649596615505707
temp_fer = 0.0035598705501618125, temp_ber = 0.00015598950671766207
temp_fer = 0.0035483870967741938, temp_ber = 0.0001554863147605083
temp_fer = 0.003536977491961415, temp_ber = 0.0001549863587644938
temp_fer = 0.0035256410256410257, temp_ber = 0.0001544896076146076
temp_fer = 0.003514376996805112, temp_ber = 0.0001539960305934747
temp_fer = 0.0035031847133757963, temp_ber = 0.00015350559737502414
temp_fer = 0.003492063492063492, temp_ber = 0.00015301827801827801
temp_fer = 0.003481012658227848, temp_ber = 0.00015253404296125815
temp_fer = 0.003470031545741325, temp_ber = 0.00015205286301500813
temp_fer = 0.003459119496855346, temp_ber = 0.00015157470935772823
temp_fer = 0.003605015673981191, temp_ber = 0.00015614610050346728
temp_fer = 0.00359375, temp_ber = 0.00015565814393939394
temp_fer = 0.0035825545171339563, temp_ber = 0.00015517322760313413
temp_fer = 0.0035714285714285713, temp_ber = 0.00015469132316958404
temp_fer = 0.0035603715170278638, temp_ber = 0.00015421240266441506
temp_fer = 0.0035493827160493828, temp_ber = 0.00015373643845866067
temp_fer = 0.0035384615384615385, temp_ber = 0.00015326340326340327
temp_fer = 0.00352760736196319, temp_ber = 0.00015279327012455846
temp_fer = 0.0035168195718654435, temp_ber = 0.00015232601241775554
temp_fer = 0.00350609756097561, temp_ber = 0.00015186160384331117
temp_fer = 0.0034954407294832826, temp_ber = 0.00015140001842129503
temp_fer = 0.0034848484848484847, temp_ber = 0.00015094123048668503
temp_fer = 0.003474320241691843, temp_ber = 0.00015048521468461045
temp_fer = 0.0034638554216867468, temp_ber = 0.0001500319459656809
temp_fer = 0.0034534534534534536, temp_ber = 0.00014958139958139957
temp_fer = 0.0034431137724550897, temp_ber = 0.00014913355107965887
temp_fer = 0.0034328358208955225, temp_ber = 0.0001486883763003166
temp_fer = 0.0034226190476190476, temp_ber = 0.00014824585137085137
temp_fer = 0.0034124629080118695, temp_ber = 0.00014780595270209512
temp_fer = 0.0034023668639053253, temp_ber = 0.0001473686569840416
temp_fer = 0.003392330383480826, temp_ber = 0.0001469339411817288
temp_fer = 0.0033823529411764705, temp_ber = 0.0001465017825311943
temp_fer = 0.003372434017595308, temp_ber = 0.00014607215853550164
temp_fer = 0.0033625730994152046, temp_ber = 0.00014564504696083644
temp_fer = 0.0033527696793002916, temp_ber = 0.00014522042583267074
temp_fer = 0.0033430232558139534, temp_ber = 0.00014479827343199435
temp_fer = 0.0033333333333333335, temp_ber = 0.00014437856829161176
temp_fer = 0.003323699421965318, temp_ber = 0.00014396128919250307
temp_fer = 0.003314121037463977, temp_ber = 0.00014354641516024801
temp_fer = 0.0033045977011494252, temp_ber = 0.00014313392546151166
temp_fer = 0.0032951289398280804, temp_ber = 0.00014272379960059042
temp_fer = 0.003285714285714286, temp_ber = 0.00014231601731601732
temp_fer = 0.0032763532763532763, temp_ber = 0.00014191055857722525
temp_fer = 0.0032670454545454543, temp_ber = 0.00014150740358126723
temp_fer = 0.0032577903682719546, temp_ber = 0.00014110653274959224
temp_fer = 0.0032485875706214687, temp_ber = 0.00014070792672487588
temp_fer = 0.0032394366197183097, temp_ber = 0.0001403115663679044
temp_fer = 0.0032303370786516852, temp_ber = 0.0001399174327545114
temp_fer = 0.0032212885154061623, temp_ber = 0.000139525507172566
temp_fer = 0.003212290502793296, temp_ber = 0.00013913577111901134
temp_fer = 0.003203342618384401, temp_ber = 0.0001387482062969528
temp_fer = 0.0031944444444444446, temp_ber = 0.00013836279461279462
temp_fer = 0.003185595567867036, temp_ber = 0.000137979518173424
temp_fer = 0.0031767955801104975, temp_ber = 0.00013759835928344217
temp_fer = 0.0031680440771349864, temp_ber = 0.00013721930044244095
temp_fer = 0.0031593406593406594, temp_ber = 0.00013684232434232435
temp_fer = 0.0031506849315068495, temp_ber = 0.00013646741386467415
temp_fer = 0.0031420765027322405, temp_ber = 0.00013609455207815865
temp_fer = 0.0031335149863760217, temp_ber = 0.00013572372223598383
temp_fer = 0.003125, temp_ber = 0.00013535490777338602
temp_fer = 0.0031165311653116533, temp_ber = 0.00013498809230516547
temp_fer = 0.003108108108108108, temp_ber = 0.00013462325962325963
temp_fer = 0.003234501347708895, temp_ber = 0.0001355366331781426
temp_fer = 0.0032258064516129032, temp_ber = 0.00013517228739002934
temp_fer = 0.0032171581769436996, temp_ber = 0.00013480989519863514
temp_fer = 0.0032085561497326204, temp_ber = 0.00013444944093339816
temp_fer = 0.0032, temp_ber = 0.0001340909090909091
temp_fer = 0.0031914893617021275, temp_ber = 0.0001337342843326886
temp_fer = 0.003183023872679045, temp_ber = 0.00013337955148299977
temp_fer = 0.0031746031746031746, temp_ber = 0.00013302669552669552
temp_fer = 0.0031662269129287598, temp_ber = 0.0001326757016071
temp_fer = 0.003157894736842105, temp_ber = 0.00013232655502392343
temp_fer = 0.0031496062992125984, temp_ber = 0.00013197924123120974
temp_fer = 0.0031413612565445027, temp_ber = 0.00013163374583531653
temp_fer = 0.003133159268929504, temp_ber = 0.00013129005459292667
temp_fer = 0.0032552083333333335, temp_ber = 0.0001346472537878788
temp_fer = 0.003246753246753247, temp_ber = 0.00013429752066115703
temp_fer = 0.003238341968911917, temp_ber = 0.00013394959962317475
temp_fer = 0.003229974160206718, temp_ber = 0.00013360347662673243
temp_fer = 0.0033505154639175256, temp_ber = 0.00014863519212746017
temp_fer = 0.0033419023136246786, temp_ber = 0.00014825309651787802
temp_fer = 0.0033333333333333335, temp_ber = 0.00014787296037296037
temp_fer = 0.0033248081841432226, temp_ber = 0.00014749476865845153
temp_fer = 0.0033163265306122448, temp_ber = 0.0001471185064935065
temp_fer = 0.0033078880407124683, temp_ber = 0.0001467441591487393
temp_fer = 0.003299492385786802, temp_ber = 0.00014637171204430087
temp_fer = 0.003291139240506329, temp_ber = 0.00014600115074798618
temp_fer = 0.0032828282828282827, temp_ber = 0.00014563246097337008
temp_fer = 0.00327455919395466, temp_ber = 0.00014526562857797114
temp_fer = 0.0032663316582914573, temp_ber = 0.00014490063956144357
temp_fer = 0.0033834586466165413, temp_ber = 0.0001447748158274474
temp_fer = 0.003375, temp_ber = 0.0001444128787878788
temp_fer = 0.003366583541147132, temp_ber = 0.00014405274692057735
temp_fer = 0.0033582089552238806, temp_ber = 0.00014369440675410824
temp_fer = 0.003349875930521092, temp_ber = 0.00014333784495074818
temp_fer = 0.0033415841584158415, temp_ber = 0.0001429830483048305
temp_fer = 0.0033333333333333335, temp_ber = 0.00014263000374111485
temp_fer = 0.0033251231527093596, temp_ber = 0.00014227869831318107
temp_fer = 0.003316953316953317, temp_ber = 0.00014192911920184648
temp_fer = 0.0033088235294117647, temp_ber = 0.00014158125371360665
temp_fer = 0.003300733496332518, temp_ber = 0.00014123508927909906
temp_fer = 0.003292682926829268, temp_ber = 0.00014089061345158907
temp_fer = 0.0032846715328467154, temp_ber = 0.00014054781390547815
temp_fer = 0.0032766990291262137, temp_ber = 0.00014020667843483376
